City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Sisimiut,GL,2021-11-30 05:23:02,66.9395,-53.6735,30.76,78,100,8.32
160,San Policarpo,PH,2021-11-30 05:23:02,12.1791,125.5072,84.56,73,100,5.93
161,Peace River,CA,2021-11-30 05:18:04,56.2501,-117.286,23.31,86,90,4.61
162,Nuevitas,CU,2021-11-30 05:23:03,21.5453,-77.2644,69.24,71,89,7.14
163,Puerto Montt,CL,2021-11-30 05:23:03,-41.4698,-72.9447,45.43,100,20,2.3
164,Flinders,AU,2021-11-30 05:23:03,-34.5833,150.8552,77.18,73,100,4.0
165,Naze,JP,2021-11-30 05:23:03,28.3667,129.4833,72.52,72,33,17.09
166,Comodoro Rivadavia,AR,2021-11-30 05:23:04,-45.8667,-67.5,60.66,29,0,10.36
167,Abu Zabad,SD,2021-11-30 05:23:04,12.35,29.25,77.45,33,59,9.17
168,Marawi,PH,2021-11-30 05:23:04,7.9986,124.2928,76.64,77,74,6.44
169,Surt,LY,2021-11-30 05:23:04,31.2089,16.5887,58.01,50,15,15.23
170,Talnakh,RU,2021-11-30 05:23:05,69.4865,88.3972,-9.8,92,100,0.54
171,Singaraja,ID,2021-11-30 05:23:05,-8.112,115.0882,81.97,93,100,4.94
172,Dodola,ET,2021-11-30 05:23:05,6.9833,39.1833,53.19,49,36,4.36
173,Narsaq,GL,2021-11-30 05:23:05,60.9167,-46.05,33.01,99,100,7.87
174,Aklavik,CA,2021-11-30 05:22:54,68.2191,-135.0107,-22.97,98,91,3.02
175,Faanui,PF,2021-11-30 05:23:06,-16.4833,-151.75,80.58,80,100,17.76
176,Mmathubudukwane,BW,2021-11-30 05:23:06,-24.6,26.4333,70.66,58,47,0.54
177,Antsohihy,MG,2021-11-30 05:23:06,-14.8796,47.9875,82.74,71,70,0.25
178,Saint-Augustin,CA,2021-11-30 05:22:53,51.226,-58.6502,32.74,99,100,17.83
179,Butaritari,KI,2021-11-30 05:23:07,3.0707,172.7902,81.09,80,80,9.1
180,Bacungan,PH,2021-11-30 05:23:07,9.9106,118.7022,86.05,67,59,5.59
181,Luderitz,NA,2021-11-30 05:23:07,-26.6481,15.1594,61.52,73,3,9.91
