City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
354,Stabat,ID,86.2,scattered clouds,3.761,98.4513,Link VII damai
355,Grand Gaube,MU,84.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
356,Mount Gambier,AU,75.11,clear sky,-37.8333,140.7667,The Commodore
358,Jibuti,DJ,76.42,clear sky,11.5,42.5,Orchid Main Camp Goubet
367,Manokwari,ID,83.17,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
368,Vanimo,PG,82.9,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
371,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
372,Bijapur,IN,76.75,overcast clouds,16.8333,75.7,Hotel Pancharatan
374,Itaueira,BR,71.31,broken clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
381,Diffa,NE,71.6,clear sky,13.3154,12.6113,ProDAF/Diffa
382,Yarada,IN,80.92,haze,17.65,83.2667,Vishranti
383,Tsiroanomandidy,MG,78.98,scattered clouds,-18.7667,46.0333,Hotel du Bongolave
387,Teluk Nibung,ID,87.44,clear sky,3.001,99.8164,Hotel Assyifa
395,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Fórum
401,Acapulco,MX,76.84,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
403,Agua Preta,BR,71.29,overcast clouds,-8.7075,-35.5306,Motel Paraíso
404,Sawtell,AU,75.52,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
405,Quatre Cocos,MU,84.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
406,Kainantu,PG,71.47,overcast clouds,-6.2887,145.8655,Sylvester buku
407,Conceicao Do Araguaia,BR,72.79,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
412,Tanda,IN,75.63,overcast clouds,26.55,82.65,MUMTAZ GANJ TANDA
414,Astaneh-Ye Ashrafiyeh,IR,80.53,overcast clouds,37.2596,49.9444,Hotel Farrghi
416,Lorengau,PG,85.19,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
423,Sahaswan,IN,72.39,overcast clouds,28.0833,78.75,Lala Munna Lal Halbayi
427,Karaton,ID,91.56,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
428,Gamba,GA,76.57,moderate rain,-2.65,10.0,
431,Wajid,SO,80.69,overcast clouds,3.8093,43.2471,xamdihotelresturant114
433,Le Port,RE,82.62,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
434,Sola,VU,82.8,broken clouds,-13.8833,167.55,Leumerus Bungalows
436,Batemans Bay,AU,71.1,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
439,Adre,TD,72.45,clear sky,13.4667,22.2,
440,Kudahuvadhoo,MV,82.09,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
441,Lucea,JM,76.86,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
448,Rambha,IN,78.35,scattered clouds,19.5167,85.1,OTDC Panthanivas - Rambha
449,Bugiri,UG,70.5,overcast clouds,0.5714,33.7417,Gilgal Guest House
451,Bigaan,PH,86.11,overcast clouds,8.3172,126.2811,Florland Resort
454,Bireun,ID,83.5,broken clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
455,Guane,CU,70.61,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
456,Saint-Louis,SN,73.11,broken clouds,16.3333,-15.0,
457,Vila Velha,BR,73.35,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
459,Labuan,MY,89.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
460,Moengo,SR,73.18,overcast clouds,5.6167,-54.4,Masanga
469,Kranuan,TH,83.43,scattered clouds,16.7067,103.0788,หอพักพรวิมล
470,Minuri,PH,72.93,overcast clouds,16.535,121.8574,
473,Taunggyi,MM,72.97,broken clouds,20.7833,97.0333,True Treasure Hotel
476,Namatanai,PG,83.98,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
477,Lakes Entrance,AU,83.57,scattered clouds,-37.8811,147.981,The Esplanade Resort & Spa
478,Gambela,ET,85.69,broken clouds,8.25,34.5833,Solomon Debebe Hotel
479,Sesheke,ZM,85.66,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
493,Rodrigues Alves,BR,70.34,overcast clouds,-7.738,-72.6509,Pousada Aconchego
497,Inhambane,MZ,78.78,scattered clouds,-23.865,35.3833,Oceano
498,Lumphat,KH,84.25,overcast clouds,13.4878,106.9816,Lumphat Homestay
499,Mahajanga,MG,86.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
500,Chambas,CU,74.82,few clouds,22.1928,-78.9136,
502,Rayong,TH,85.98,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
