City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Longyearbyen,SJ,78.2186,15.6401,6.64,61,0,19.57,clear sky
120,Mataura,NZ,-46.1927,168.8643,68.49,50,23,4.85,few clouds
121,Fort Dodge,US,42.4975,-94.168,46.49,53,90,8.05,light rain
122,East London,ZA,-33.0153,27.9116,65.34,94,75,3.44,broken clouds
123,Arraial Do Cabo,BR,-22.9661,-42.0278,73.13,91,71,4.5,broken clouds
124,Camacha,PT,33.0833,-16.3333,62.02,72,20,6.91,few clouds
125,Maues,BR,-3.3836,-57.7186,75.29,86,98,1.95,overcast clouds
126,Hithadhoo,MV,-0.6,73.0833,82.0,74,78,6.67,broken clouds
127,Tashla,RU,51.7716,52.7427,34.66,93,97,8.48,light snow
128,Ocampo,MX,21.65,-101.5,57.45,62,85,4.85,overcast clouds
129,Chokurdakh,RU,70.6333,147.9167,-14.91,99,100,6.11,overcast clouds
130,Aklavik,CA,68.2191,-135.0107,-30.17,99,69,5.3,broken clouds
131,Esperance,AU,-33.8667,121.9,75.04,53,70,14.0,broken clouds
132,Umm Kaddadah,SD,13.6017,26.6876,76.64,24,1,21.68,clear sky
133,Arlit,NE,18.7369,7.3853,66.92,25,21,6.17,few clouds
134,Mitu,CO,1.1983,-70.1733,70.95,99,92,2.39,overcast clouds
135,Bredasdorp,ZA,-34.5322,20.0403,64.27,73,68,7.38,broken clouds
136,Cardoso,BR,-20.0819,-49.9142,71.6,92,64,1.9,broken clouds
137,Kavieng,PG,-2.5744,150.7967,85.1,66,53,11.14,broken clouds
138,Ambon,ID,-3.6954,128.1814,89.74,66,40,11.5,scattered clouds
139,Broken Hill,AU,-31.95,141.4333,92.91,21,0,8.05,clear sky
140,Norman Wells,CA,65.282,-126.8329,-27.36,68,75,9.22,light snow
141,Husavik,IS,66.0449,-17.3389,21.11,89,98,8.16,overcast clouds
142,Nokaneng,BW,-19.6667,22.2667,85.51,34,76,4.41,broken clouds
143,Saint-Philippe,RE,-21.3585,55.7679,81.99,72,90,8.63,overcast clouds
144,Sorong,ID,-0.8833,131.25,83.98,73,100,7.67,light rain
145,Asau,RO,46.4333,26.4,38.39,60,100,10.36,overcast clouds
146,Shenjiamen,CN,29.9576,122.298,48.58,59,29,19.75,scattered clouds
147,Coihaique,CL,-45.5752,-72.0662,51.75,62,0,2.3,clear sky
148,Rozivka,UA,46.9385,35.7724,32.45,78,46,10.33,scattered clouds
149,Fairbanks,US,64.8378,-147.7164,6.76,76,90,0.0,overcast clouds
150,Mao,ES,39.8885,4.2658,55.96,88,40,5.75,scattered clouds
151,Jabinyanah,TN,35.035,10.9081,44.4,65,4,3.24,clear sky
152,Klaksvik,FO,62.2266,-6.589,34.72,57,54,24.38,broken clouds
153,Buala,SB,-8.145,159.5921,83.7,69,100,2.86,overcast clouds
154,Alice Springs,AU,-23.7,133.8833,98.15,11,0,12.66,clear sky
155,Severo-Kurilsk,RU,50.6789,156.125,37.44,97,100,19.15,moderate rain
156,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,1,2.3,clear sky
157,Shimoda,JP,34.6667,138.95,61.16,63,38,36.26,scattered clouds
158,Muros,ES,42.7762,-9.0603,58.84,96,91,10.54,overcast clouds
159,Kapaa,US,22.0752,-159.319,77.32,77,20,1.01,moderate rain
160,Pahrump,US,36.2083,-115.9839,63.1,26,0,1.01,clear sky
161,Sananduva,BR,-27.9497,-51.8067,54.27,86,0,2.57,clear sky
162,Trelleborg,SE,55.3751,13.1569,37.35,76,100,13.73,light snow
163,Provideniya,RU,64.3833,-173.3,-5.06,73,1,6.29,clear sky
164,Byron Bay,AU,-28.65,153.6167,77.05,92,98,9.66,light rain
165,Talnakh,RU,69.4865,88.3972,-21.8,100,85,2.01,overcast clouds
166,Sheboygan,US,43.7333,-87.9334,33.82,63,1,4.61,clear sky
167,Cleveland,US,41.4995,-81.6954,40.01,77,1,17.27,clear sky
168,Leningradskiy,RU,69.3833,178.4167,-22.16,96,77,10.63,broken clouds
169,Sakakah,SA,29.9697,40.2064,58.57,25,82,6.64,broken clouds
170,Alvaraes,BR,-3.2208,-64.8042,73.4,98,100,1.88,overcast clouds
171,Ambovombe,MG,-25.1667,46.0833,85.19,55,6,4.25,clear sky
172,Necochea,AR,-38.5473,-58.7368,44.04,84,54,8.46,broken clouds
173,Pori,FI,61.4833,21.7833,19.47,79,0,10.36,clear sky
174,Yacopi,CO,5.4595,-74.3382,58.08,98,95,2.66,overcast clouds
175,Ribeira Grande,PT,38.5167,-28.7,62.74,79,38,7.85,scattered clouds
176,Chuy,UY,-33.6971,-53.4616,62.55,83,77,9.64,broken clouds
177,Galdar,ES,28.147,-15.6502,61.3,71,7,7.25,clear sky
178,Port-Gentil,GA,-0.7193,8.7815,80.56,89,75,6.91,thunderstorm
179,Kayerkan,RU,69.3497,87.7602,-21.48,75,88,1.32,overcast clouds
180,Yulara,AU,-25.2406,130.9889,102.04,6,0,3.44,clear sky
181,Nizhnyaya Omka,RU,55.4338,74.9426,16.18,85,81,10.33,broken clouds
182,Newport,GB,51.5877,-2.9984,50.0,86,66,27.6,heavy intensity rain
183,Dhadar,IN,28.3305,75.0632,72.34,23,100,2.84,overcast clouds
184,San Francisco Del Mar,MX,16.2333,-94.65,75.25,79,3,21.59,clear sky
185,Souillac,MU,-20.5167,57.5167,84.36,65,40,8.05,scattered clouds
186,Ginir,ET,7.1333,40.7,65.43,26,90,6.71,overcast clouds
187,Koulikoro,ML,14.0,-7.75,68.63,18,33,8.37,scattered clouds
188,Katsuura,JP,35.1333,140.3,68.14,51,70,35.14,broken clouds
189,Cabo San Lucas,MX,22.8909,-109.9124,77.5,74,96,6.17,overcast clouds
190,College,US,64.8569,-147.8028,6.75,75,90,3.44,overcast clouds
191,Bunia,CD,1.5667,30.25,70.63,73,86,0.98,overcast clouds
192,Kavaratti,IN,10.5669,72.642,81.75,79,43,14.0,scattered clouds
193,Natitingou,BJ,10.3042,1.3796,70.43,26,44,4.52,scattered clouds
194,Hinton,CA,53.4001,-117.5857,40.1,87,90,6.29,overcast clouds
195,Maragogi,BR,-9.0122,-35.2225,76.37,85,95,5.48,overcast clouds
196,Berlevag,NO,70.8578,29.0864,28.4,58,100,30.67,light snow
197,San Nicolas,PH,18.1725,120.5953,84.11,58,75,24.16,broken clouds
198,Iracoubo,GF,5.4802,-53.2011,77.0,90,98,8.41,light rain
199,Dunnville,CA,42.9001,-79.6163,40.1,90,99,17.65,overcast clouds
200,San Patricio,US,28.017,-97.5169,67.82,79,97,6.44,overcast clouds
201,Ovalle,CL,-30.5983,-71.2003,60.85,60,0,2.59,clear sky
202,Salinopolis,BR,-0.6136,-47.3561,80.22,81,100,9.57,overcast clouds
203,Sarangani,PH,5.4033,125.4636,82.58,77,100,10.31,overcast clouds
204,Sioux Lookout,CA,50.1001,-91.917,15.87,86,90,4.61,overcast clouds
205,Talaya,RU,61.3833,152.75,-41.8,100,57,2.33,broken clouds
206,Port Elizabeth,ZA,-33.918,25.5701,68.09,88,0,8.05,clear sky
207,Lompoc,US,34.6391,-120.4579,67.51,80,1,3.44,clear sky
208,Mogadishu,SO,2.0371,45.3438,82.27,74,0,12.66,clear sky
209,Verkhoyansk,RU,67.5447,133.385,-27.15,100,98,0.72,overcast clouds
210,Kamaishi,JP,39.2667,141.8833,49.15,75,89,14.81,overcast clouds
211,Avera,US,33.194,-82.5271,52.72,64,1,6.51,clear sky
212,Port Hardy,CA,50.6996,-127.4199,49.75,100,90,2.3,mist
213,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,87,72,7.27,broken clouds
214,Ossora,RU,59.2353,163.0719,12.45,94,33,4.23,scattered clouds
215,Bengkulu,ID,-3.8004,102.2655,84.16,63,61,9.08,broken clouds
216,Guerrero Negro,MX,27.9769,-114.0611,61.97,87,0,5.28,clear sky
217,Naryshkino,RU,52.9678,35.7268,27.93,76,79,13.33,broken clouds
